ID_CLIENTE;ESTC;NDEP;RENDA;TIPOR;VBEM;NPARC;VPARC;TEL;IDADE;RESMS;ENTRADA;ADIMPLENTE
467;V;0;1004;P;879;10;134;N;40;0;0;S
468;C;0;1000;NP;413;3;153;N;35;48;0;N
469;C;0;415;P;588;10;89;N;32;6;0;S
470;C;0;550;NP;805;12;109;S;33;108;0;N
471;S;0;600;NP;468;5;114;N;66;72;0;S
472;S;0;438;NP;473;12;64;N;56;0;0;S
473;C;0;3000;NP;360;1;376;N;43;48;0;N
474;S;2;709;P;399;10;55;N;33;6;0;S
475;C;0;821;NP;508;11;71;N;59;48;0;S
476;C;0;600;NP;370;10;56;S;60;0;0;S
477;S;0;411;NP;419;11;58;N;41;48;0;N
478;S;2;709;P;398;10;57;N;33;6;0;S
479;C;0;2000;NP;779;10;111;N;27;48;0;N
480;S;0;1404;NP;877;2;294;N;56;0;294;S
481;V;0;1559;NP;310;2;104;N;60;48;107;S
482;S;0;420;NP;849;18;97;S;41;180;0;N
483;C;0;750;NP;851;12;116;S;31;60;0;N
484;C;0;563;NP;599;10;91;S;31;0;0;N
485;S;0;599;P;459;10;64;N;44;6;0;S
486;V;0;741;NP;491;3;134;N;55;0;134;S
487;S;0;1500;P;556;12;75;N;27;6;0;N
488;S;0;600;NP;395;9;56;N;28;0;56;N
489;C;2;900;P;422;5;103;N;27;6;0;N
490;C;6;500;P;378;10;53;N;50;6;0;S
491;C;0;900;NP;834;6;140;N;51;48;0;N
492;C;0;350;P;459;10;70;N;46;6;0;S
493;S;1;400;P;443;10;67;N;44;6;0;S
494;S;1;1500;P;460;3;154;N;41;6;50;S
495;C;0;1419;NP;1002;12;127;N;28;48;0;N
496;S;0;1600;P;657;10;91;N;36;6;0;S
497;D;0;1500;NP;552;4;119;N;58;48;119;S
498;S;2;2000;P;747;10;103;N;34;6;0;S
499;C;0;1700;NP;669;6;139;N;65;48;0;S
500;S;0;419;NP;399;6;83;N;64;48;0;S
501;S;0;3000;P;704;7;137;S;42;60;0;S
502;S;0;500;P;345;10;53;N;40;6;0;S
503;S;0;579;NP;301;6;67;N;60;48;0;S
504;C;0;360;P;519;9;85;N;66;6;0;N
505;S;0;667;NP;638;11;89;N;67;48;0;N
